gene,F_score,p_value,DH_ex_Reln/Nmur2_mean,DH_ex_Cpne4_mean,mean_difference
Plxnb1,1.11301000269246,0.29422154607358186,0.208955223880597,0.15384615384615385,0.05510907003444315
Pcdhgb4,1.1058759918283063,0.2957647109205823,0.23880597014925373,0.11538461538461539,0.12342135476463834
Pcdhgc5,1.0870844096137935,0.29988011996445346,0.208955223880597,0.11538461538461539,0.09357060849598162
Plxnc1,0.9029905825042199,0.34449807085141004,0.208955223880597,0.11538461538461539,0.09357060849598162
Pcdhga10,0.8689432393897617,0.35371465599141844,0.11940298507462686,0.038461538461538464,0.0809414466130884
Plxnb2,0.8238618267542276,0.3664508845069799,0.05970149253731343,0.11538461538461539,-0.05568312284730196
Lhx9,0.7793919028430217,0.37965341669638836,0.1044776119402985,0.038461538461538464,0.06601607347876004
Ntrk3,0.7000172024179482,0.404969675677861,0.373134328358209,0.5,-0.12686567164179102
Gad2,0.5823512997809389,0.44736597126961164,0.1044776119402985,0.038461538461538464,0.06601607347876004
Vgf,0.5695181358251709,0.45239907254989103,0.34328358208955223,0.5769230769230769,-0.23363949483352464
Grik5,0.5544695487544675,0.4584158551743011,1.1791044776119404,1.5384615384615385,-0.3593570608495982
Pcdhga11,0.5379270932523877,0.46517839225762003,0.29850746268656714,0.2692307692307692,0.02927669345579792
Plxna1,0.5288611467314279,0.46895285987290575,0.23880597014925373,0.15384615384615385,0.08495981630309987
Col23a1,0.5134238131592014,0.47549539917669936,0.1044776119402985,0.15384615384615385,-0.04936854190585535
Adra2a,0.4902572685521425,0.4855988190214164,0.08955223880597014,0.038461538461538464,0.05109070034443168
Oprm1,0.4902572685521411,0.485598819021417,0.08955223880597014,0.038461538461538464,0.05109070034443168
Notch2,0.47000477056305084,0.4947277892957646,0.26865671641791045,0.15384615384615385,0.11481056257175659
Pcdhb16,0.43036074194571544,0.5134673008476487,0.1044776119402985,0.15384615384615385,-0.04936854190585535
Pcdhb11,0.3989363288433828,0.5292225732740887,0.07462686567164178,0.038461538461538464,0.03616532721010332
Pcdhgb5,0.3989363288433828,0.5292225732740887,0.07462686567164178,0.038461538461538464,0.03616532721010332
Bdnf,0.3989363288433828,0.5292225732740887,0.07462686567164178,0.038461538461538464,0.03616532721010332
Pmp22,0.373849797732083,0.5424376994112554,0.04477611940298507,0.07692307692307693,-0.032146957520091855
Ctss,0.373849797732083,0.5424376994112554,0.04477611940298507,0.07692307692307693,-0.032146957520091855
Zfhx3,0.26888887903889436,0.6053367387047022,0.23880597014925373,0.3076923076923077,-0.06888633754305398
Farp2,0.24855862787897035,0.619294764568462,0.07462686567164178,0.038461538461538464,0.03616532721010332
Pcdha11,0.23624582288328858,0.6280992193168609,0.11940298507462686,0.07692307692307693,0.042479908151549936
Penk,0.22848878375918386,0.6337929357669927,0.29850746268656714,0.3076923076923077,-0.009184845005740572
Pomc,0.1628247404624958,0.6875156515916387,0.05970149253731343,0.038461538461538464,0.021239954075774968
Pkd2l1,0.1628247404624958,0.6875156515916387,0.05970149253731343,0.038461538461538464,0.021239954075774968
Sema6c,0.15948299468755062,0.6905686681291732,0.1044776119402985,0.07692307692307693,0.027554535017221576
Pdyn,0.15605695978655457,0.6937374905920741,0.13432835820895522,0.07692307692307693,0.057405281285878296
Hrh1,0.15156676229222057,0.6979521454392267,0.05970149253731343,0.07692307692307693,-0.017221584385763496
Pcdhga9,0.14014085953060415,0.7090119276125602,0.08955223880597014,0.11538461538461539,-0.025832376578645247
Esrrg,0.09015613854323638,0.7646636093324661,0.05970149253731343,0.07692307692307693,-0.017221584385763496
Dpy19l1,0.0816800828852566,0.7756829497895362,0.13432835820895522,0.19230769230769232,-0.057979334098737095
Adcyap1r1,0.07914861370739106,0.7790932389721645,0.6865671641791045,0.8461538461538461,-0.15958668197474168
Grik3,0.06645375500228894,0.7971539401876516,0.07462686567164178,0.07692307692307693,-0.002296211251435143
Sema4d,0.05856447623859868,0.8093239345433921,0.13432835820895522,0.11538461538461539,0.018943742824339832
Sema4c,0.05262148368075247,0.8190777072599745,0.11940298507462686,0.15384615384615385,-0.03444316877152699
Sema6d,0.013640494650458895,0.9072818390441515,1.8805970149253732,1.7307692307692308,0.1498277841561424
Pcdha7,0.00894169371350867,0.9248718069751194,0.08955223880597014,0.07692307692307693,0.012629161882893217
Sst,0.0015052386857657407,0.969136902121286,4.477611940298507,4.3076923076923075,0.16991963260619958
Ptgds,0.0007314332076479639,0.9784830463796813,0.2835820895522388,0.3076923076923077,-0.024110218140068918
