gene,F_score,p_value,MV_in_Gm26673_mean,MV_in_Chrna2_mean,mean_difference
Gabra1,4.018624246895194,0.04707772967596237,0.41818181818181815,0.09090909090909091,0.32727272727272727
Ccn2,3.7413729343032043,0.05525346304141446,0.32727272727272727,0.045454545454545456,0.2818181818181818
Pcdhb9,3.7322754086212164,0.05554627997250185,0.2,0.0,0.2
Penk,3.614374574923,0.05949566377720594,0.509090909090909,0.045454545454545456,0.46363636363636357
Rorb,3.582606679130068,0.060610726003258175,0.39090909090909093,0.045454545454545456,0.34545454545454546
Pcdhb11,3.468980875671739,0.0647870879323341,0.2,0.0,0.2
Met,3.421052631578947,0.06664093719836245,0.13636363636363635,0.0,0.13636363636363635
Prox1,3.355160985680845,0.06928384137795852,0.21818181818181817,0.0,0.21818181818181817
Sst,3.2716784010626494,0.07279654851690534,0.21818181818181817,0.45454545454545453,-0.23636363636363636
Pcdhb18,3.165472226306966,0.07754754868935544,0.17272727272727273,0.0,0.17272727272727273
Mc4r,3.085782879011888,0.08133382254337695,0.13636363636363635,0.0,0.13636363636363635
Sstr3,3.0031763341311106,0.08547275618371851,0.15454545454545454,0.0,0.15454545454545454
Pkd2l1,2.998004298456822,0.08573945072493373,0.37272727272727274,0.13636363636363635,0.2363636363636364
Pcdhb12,2.984414706041636,0.08644454444105343,0.16363636363636364,0.0,0.16363636363636364
Adora2b,2.9037800687285222,0.09076118087567445,0.11818181818181818,0.0,0.11818181818181818
Spr,2.8389724227205355,0.09440222124151088,0.4,0.09090909090909091,0.3090909090909091
Crhr1,2.8245479247350413,0.09523429652474938,0.37272727272727274,0.09090909090909091,0.28181818181818186
Tac4,2.7563903552105824,0.09927680910472902,0.14545454545454545,0.0,0.14545454545454545
Ntrk3,2.6975791764613613,0.10291752383779516,2.463636363636364,1.0454545454545454,1.4181818181818184
Vgf,2.6961648845559214,0.10300687464135838,2.881818181818182,0.5454545454545454,2.3363636363636364
Gabrg2,2.667626726316899,0.10482830715886886,0.2545454545454545,0.045454545454545456,0.20909090909090905
Gabrb3,2.419248074938348,0.12228361312537155,0.38181818181818183,0.13636363636363635,0.24545454545454548
Slc6a4,2.3836019400040915,0.12504537769602098,0.15454545454545454,0.0,0.15454545454545454
Tfap2b,2.341087795009933,0.12843127686697753,0.10909090909090909,0.0,0.10909090909090909
Prkcg,2.3410877950099325,0.12843127686697756,0.10909090909090909,0.0,0.10909090909090909
Pcdhga11,2.3208063385937017,0.1300827777377072,0.2,0.045454545454545456,0.15454545454545454
Cyp27a1,2.1035598705501597,0.14936513399366225,0.045454545454545456,0.18181818181818182,-0.13636363636363635
Htr1f,2.0992256444302937,0.1497816082616158,0.18181818181818182,0.0,0.18181818181818182
Sema6c,2.0866806163337084,0.15099455346531954,0.21818181818181817,0.045454545454545456,0.17272727272727273
Chrm3,2.0668995158310075,0.1529300268326318,0.10909090909090909,0.0,0.10909090909090909
Plxnc1,2.0668995158310075,0.1529300268326318,0.10909090909090909,0.0,0.10909090909090909
Htr2a,2.0116066779221686,0.15849271452438454,0.16363636363636364,0.0,0.16363636363636364
Gabrq,1.9875346974144452,0.16098682177537238,0.12727272727272726,0.0,0.12727272727272726
Pcdhb21,1.9306930693069315,0.1670578453432746,0.08181818181818182,0.0,0.08181818181818182
Dbh,1.9306930693069315,0.1670578453432746,0.08181818181818182,0.0,0.08181818181818182
Sema5b,1.9203501814072943,0.16819075622779994,1.0272727272727273,0.5909090909090909,0.4363636363636364
Grik3,1.7642141025128377,0.1864269052084118,0.36363636363636365,0.13636363636363635,0.2272727272727273
Grik1,1.754975618119816,0.18757644134330898,0.6818181818181818,0.3181818181818182,0.3636363636363636
Htr4,1.6993464052287581,0.1946773019104796,0.07272727272727272,0.0,0.07272727272727272
Sema6d,1.6972146349040407,0.19495565969487266,1.2272727272727273,0.7272727272727273,0.5
Pcdhb19,1.6863551879363519,0.1963809637598226,0.19090909090909092,0.045454545454545456,0.14545454545454545
Pts,1.629376424280091,0.20406492418792427,0.14545454545454545,0.045454545454545456,0.09999999999999999
Cdh19,1.6199355078493574,0.20537232714067544,0.2636363636363636,0.13636363636363635,0.12727272727272726
Sema3g,1.4724919093851137,0.22715307733442433,0.06363636363636363,0.0,0.06363636363636363
Apela,1.4724919093851137,0.22715307733442433,0.06363636363636363,0.0,0.06363636363636363
Sema3a,1.4724919093851137,0.22715307733442433,0.06363636363636363,0.0,0.06363636363636363
Gabrg3,1.250000000000002,0.2656143040652046,0.03636363636363636,0.09090909090909091,-0.05454545454545455
Pcdhb3,1.2500000000000002,0.26561430406520486,0.05454545454545454,0.0,0.05454545454545454
Calcrl,1.2500000000000002,0.26561430406520486,0.05454545454545454,0.0,0.05454545454545454
Nrp1,1.2451746351920305,0.26653449425001624,0.13636363636363635,0.045454545454545456,0.0909090909090909
Dach2,1.199923679045949,0.2753621901415999,0.06363636363636363,0.0,0.06363636363636363
Pcdhga10,1.199923679045949,0.2753621901415999,0.06363636363636363,0.0,0.06363636363636363
Bnc2,1.1935861750103667,0.27662785397742495,0.41818181818181815,0.2727272727272727,0.14545454545454545
Farp2,1.1793095217114182,0.2795062019019608,0.39090909090909093,0.22727272727272727,0.16363636363636366
Pcdha1,1.1378208376539554,0.2880902388456548,0.11818181818181818,0.0,0.11818181818181818
Erbb2,1.031746031746032,0.3116356420218274,0.045454545454545456,0.0,0.045454545454545456
Pcdhgb2,1.031746031746032,0.3116356420218274,0.045454545454545456,0.0,0.045454545454545456
Mc5r,1.031746031746032,0.3116356420218274,0.045454545454545456,0.0,0.045454545454545456
Pdzrn3,1.024348645313749,0.31336975759334723,0.21818181818181817,0.09090909090909091,0.12727272727272726
Hrh1,0.9864007304057135,0.3224686888659553,0.05454545454545454,0.0,0.05454545454545454
Aif1,0.9864007304057135,0.3224686888659553,0.05454545454545454,0.0,0.05454545454545454
Chrna7,0.8340624210715598,0.36279110485039007,0.6181818181818182,0.6818181818181818,-0.0636363636363636
Pcdha7,0.6977986156705526,0.4050569944697126,0.17272727272727273,0.09090909090909091,0.08181818181818182
Pcdhga6,0.6974166761859799,0.40518523435490994,0.10909090909090909,0.045454545454545456,0.06363636363636363
Pcdhga9,0.6532663316582951,0.4204238807194596,0.1,0.045454545454545456,0.05454545454545455
Plxnb1,0.5976025146625102,0.44089756256144164,0.16363636363636364,0.22727272727272727,-0.06363636363636363
Lhx9,0.5516265912305547,0.45899380656480004,0.10909090909090909,0.045454545454545456,0.06363636363636363
Calcb,0.542689397972951,0.46264763741245984,0.09090909090909091,0.18181818181818182,-0.09090909090909091
Oprm1,0.5266016695014053,0.4693434700195152,0.18181818181818182,0.09090909090909091,0.09090909090909091
Chat,0.4901960784313719,0.4850909284965884,0.09090909090909091,0.045454545454545456,0.045454545454545456
Pcdhga12,0.4901960784313719,0.4850909284965884,0.09090909090909091,0.045454545454545456,0.045454545454545456
Pcdhgb5,0.4779928158271596,0.49056570330677546,0.16363636363636364,0.09090909090909091,0.07272727272727272
Pcdhgc5,0.47714347889232794,0.4909505860559693,0.05454545454545454,0.09090909090909091,-0.03636363636363637
Pcdha11,0.43381186089420265,0.5112892780838783,0.12727272727272726,0.045454545454545456,0.0818181818181818
Sema4d,0.4215304798962406,0.5173197850073681,0.09090909090909091,0.13636363636363635,-0.04545454545454544
Fosb,0.41427638019205565,0.5209407803134224,0.12727272727272726,0.09090909090909091,0.03636363636363635
Calb1,0.4130872479131602,0.521538633920201,0.14545454545454545,0.09090909090909091,0.054545454545454536
P2rx3,0.40880503144654035,0.5237017140120903,0.1,0.045454545454545456,0.05454545454545455
Uts2r,0.34188034188034255,0.5597592680198126,0.08181818181818182,0.045454545454545456,0.03636363636363636
Cck,0.34188034188034255,0.5597592680198126,0.08181818181818182,0.045454545454545456,0.03636363636363636
Jag2,0.30638524499128905,0.5808576059749729,0.14545454545454545,0.18181818181818182,-0.036363636363636376
Trem2,0.3054096396993086,0.5814597552538905,0.09090909090909091,0.045454545454545456,0.045454545454545456
Pax6,0.21172638436482114,0.6461863220897686,0.07272727272727272,0.045454545454545456,0.027272727272727268
Pth1r,0.21172638436482114,0.6461863220897686,0.07272727272727272,0.045454545454545456,0.027272727272727268
P2ry1,0.14716135241029166,0.7018896208133788,0.07272727272727272,0.045454545454545456,0.027272727272727268
P2rx7,0.11958871428287196,0.7300399871007687,0.36363636363636365,0.36363636363636365,0.0
Adamts2,0.08530183727034096,0.7707026719377112,0.07272727272727272,0.09090909090909091,-0.018181818181818188
Plxnb2,0.061295955510088776,0.8048498368656872,0.06363636363636363,0.045454545454545456,0.018181818181818174
Agtr1b,0.06129595551008876,0.8048498368656872,0.06363636363636363,0.045454545454545456,0.018181818181818174
Pcdhgb4,0.053781012003400824,0.8169746444820977,0.2727272727272727,0.3181818181818182,-0.04545454545454547
Zfhx3,0.04148592236035299,0.8389213346312326,1.1272727272727272,1.1818181818181819,-0.054545454545454675
Ramp2,0.040957781978575816,0.8399358162215219,0.03636363636363636,0.045454545454545456,-0.009090909090909094
Pnmt,0.040957781978575816,0.8399358162215219,0.03636363636363636,0.045454545454545456,-0.009090909090909094
Dll1,0.036997038781668976,0.8477712210684116,0.08181818181818182,0.09090909090909091,-0.009090909090909094
Notch2,0.03543004596054843,0.8509908764032872,0.20909090909090908,0.22727272727272727,-0.018181818181818188
Gpc3,0.01953712052900431,0.889053890629824,0.08181818181818182,0.09090909090909091,-0.009090909090909094
Ptgds,0.009991847233987362,0.9205306814022965,0.9272727272727272,0.7727272727272727,0.15454545454545454
Pmp22,0.005474398462213042,0.9411327234283496,0.1,0.09090909090909091,0.009090909090909094
Adra1b,0.005406581359392512,0.9414978191862163,0.045454545454545456,0.045454545454545456,0.0
Cckar,0.004228517166878969,0.9482523534661976,0.17272727272727273,0.18181818181818182,-0.009090909090909094
Sema4c,0.003989325433323951,0.949735227258671,0.14545454545454545,0.13636363636363635,0.009090909090909094
Gad2,0.0022415628435064356,0.9623108038087953,0.23636363636363636,0.22727272727272727,0.009090909090909094
Npb,1.3112780891261216e-15,0.9999999711628531,0.045454545454545456,0.045454545454545456,0.0
Poln,1.3112780891261216e-15,0.9999999711628531,0.045454545454545456,0.045454545454545456,0.0
Bdnf,1.3112780891261216e-15,0.9999999711628531,0.045454545454545456,0.045454545454545456,0.0
Pomc,1.3112780891261216e-15,0.9999999711628531,0.045454545454545456,0.045454545454545456,0.0
