Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Adcyap1r1,Gabrb3,Ntrk3,Spr,Prox1,Sst,Dpy19l1,Sstr2,Shox2,Dlk1,Pax2,Crhr1,Sema6d,Chrnb2,Onecut2,Penk,Rorb,Esrrg,Ccn2,Pvalb,Sema4d,Pcdhgb5,Bnc2,Pcdhga11,Rnf220,Vgf,Plxna1,P2rx7,Gabra1,P2rx6,Sema5b,Gad2,Pcdhgb4,Ramp2,Jag2,Ptgds,Pcdhga10,Tnr,Grid1,Grik5,Grik3,Zfhx3,Pkd2l1,Chrna7
2707604800060100147,20240415,3972.912598,5069.989167,3739.365947,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,2,0415_M1_L,3,1,0,2,1,1,2,0,0,2,5,0,0,0,0,0,0,0,1,0,4,1,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2707737900087100192,20240415,1702.598633,10936.62989,9642.420205,MV_ex_Shox2,4.0,excitatory,18.0,female,F1,2,0415_F1_L,2,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
2787445900163100081,20240503,851.4135742,4181.346244,1087.720798,MV_ex_Shox2,4.0,excitatory,18.0,female,F5,4,0503_F5_T,5,3,0,0,2,0,1,1,1,7,1,1,0,4,1,0,0,0,5,0,0,1,0,0,0,5,16,4,0,1,0,2,18,0,0,1,0,0,2,3,2,0,0,0,2
2787445900363100027,20240503,3848.105225,8433.491379,2446.588863,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,1,0503_F4_C,0,1,1,0,0,0,0,1,0,2,4,0,0,4,0,0,0,2,2,0,1,0,0,2,2,3,0,0,0,0,0,1,0,0,1,0,6,0,1,1,2,0,0,0,1
2787445900583100216,20240503,3610.246338,7867.88399,4345.342569,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,1,0503_F3_C,2,3,0,0,1,0,0,0,0,1,2,1,2,1,2,0,0,1,2,2,5,0,0,1,0,6,6,3,0,0,0,0,0,0,1,0,4,0,0,0,2,1,2,0,0
2787445900623100172,20240503,4780.021484,8785.165442,4558.783791,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,1,0503_F3_C,6,2,0,1,0,3,0,1,0,3,4,3,0,4,1,0,1,0,4,2,5,0,1,0,2,9,24,3,1,0,0,3,1,1,0,0,57,1,1,3,4,3,1,2,1
2787445900660100104,20240503,2131.530762,8715.390841,4764.76222,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,1,0503_F3_C,0,0,0,0,0,0,1,1,1,1,0,1,0,10,0,1,0,0,1,0,1,2,0,0,1,5,0,0,2,0,0,0,0,0,1,1,34,0,0,1,1,1,0,0,0
2787889600349100193,20240503,1065.231445,9216.327804,8509.614676,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,1,0503_M4_C,0,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2787889600581100149,20240503,1193.80188,3626.046672,10405.51963,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,3,0503_M4_S,1,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2795103300120100144,20240610,3891.853027,4574.42182,886.454894,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,4,0610_M4_T,0,1,0,2,0,1,0,0,0,1,0,2,0,1,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2795103300147100116,20240610,4209.557129,2220.277839,1142.296545,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,1,0610_M4_C,1,0,0,2,0,0,0,0,0,1,7,0,0,3,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2795103300163100183,20240610,3646.634766,6659.726595,1232.780033,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,2,0610_M4_L,0,0,1,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2795103300331100205,20240610,2218.305908,4704.367039,2605.834082,MV_ex_Shox2,4.0,excitatory,18.0,male,M5,4,0610_M5_T,1,0,1,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2795103300332100037,20240610,1933.46814,5151.920463,2442.356725,MV_ex_Shox2,4.0,excitatory,18.0,male,M5,4,0610_M5_T,0,1,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0
2795584800389100229,20240610,1863.553467,8171.00632,6771.353527,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,3,0610_F4_S,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2795903600031100190,20240613,4909.675293,1435.018827,4275.256044,MV_ex_Shox2,4.0,excitatory,18.0,male,M5,3,0613_M5_S,0,0,0,0,0,0,0,0,0,1,5,0,0,3,1,0,0,0,2,0,20,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
2795903600032100139,20240613,3396.149902,1752.267091,4163.889888,MV_ex_Shox2,4.0,excitatory,18.0,male,M5,3,0613_M5_S,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2795903600294100071,20240613,2788.195068,2415.235839,6880.965341,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,2,0613_M4_L,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2795903600480100142,20240613,1813.450439,3420.223429,8999.074295,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,4,0613_M4_T,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
2795903600669100297,20240613,4137.815918,5481.870641,11043.72029,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,1,0613_M4_C,3,5,1,6,1,0,0,1,1,7,1,0,0,3,5,1,2,0,6,0,1,1,0,1,2,16,0,3,1,0,1,1,0,0,0,1,0,1,3,1,6,5,2,0,7
2795903600669100305,20240613,2110.943359,5498.163569,11050.68491,MV_ex_Shox2,4.0,excitatory,18.0,male,M4,1,0613_M4_C,0,2,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,3,0,4,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,2,0,0
2796212800333100029,20240613,1166.825562,6331.3521,2766.758789,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,2,0613_F4_L,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2796212800419100109,20240613,2387.290771,3588.830754,3615.619366,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,3,0613_F3_S,0,1,0,4,0,0,0,1,0,7,0,0,1,4,1,1,0,0,3,0,0,0,1,3,0,11,0,0,1,0,0,0,1,2,0,0,7,0,1,4,2,0,0,1,1
2796212800487100095,20240613,707.2680054,4684.1033,4190.270854,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,2,0613_F3_L,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2796212800585100061,20240613,2334.09375,5286.075847,4959.430801,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,2,0613_F3_L,0,1,0,1,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0
2796212800593100256,20240613,2986.483154,7557.131585,5140.282731,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,4,0613_F4_T,0,3,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,3,0,2,1,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1
2796212800821100177,20240613,1311.442993,8701.119613,7111.832456,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,1,0613_F4_C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2796212800822100056,20240613,1508.365601,8802.322578,6940.966162,MV_ex_Shox2,4.0,excitatory,18.0,female,F4,1,0613_F4_C,0,3,0,0,0,0,0,0,0,9,34,0,0,1,1,0,3,0,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0
2796212801010100018,20240613,4759.067383,7642.736772,8587.3991,MV_ex_Shox2,4.0,excitatory,18.0,female,F3,1,0613_F3_C,0,3,0,5,4,0,0,0,0,12,13,0,0,6,1,0,0,0,4,0,3,0,0,0,0,8,1,2,0,1,0,0,0,0,0,0,0,1,2,5,1,0,1,1,0
2945606900000003322,20240328,1511.217529,1189.898582,5269.819905,MV_ex_Shox2,4.0,excitatory,18.0,female,F1,1,0328_F1_C,0,2,0,4,0,0,5,0,0,3,17,0,1,0,0,0,1,0,0,0,1,0,0,0,1,4,6,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1
2945606900000028625,20240328,1672.723633,5094.285353,9917.629263,MV_ex_Shox2,4.0,excitatory,18.0,female,F1,3,0328_F1_S,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,2,0,1,1,1,0,1,1,0
2946331700000001699,20240415,2446.06958,8375.716213,783.3179027,MV_ex_Shox2,4.0,excitatory,18.0,female,F2,1,0415_F2_C,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0
