Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Adcyap1r1,Gabrb3,Ntrk3,Nrgn,Sst,Dpy19l1,Sstr2,Dlk1,Pax2,Htr1d,Sema6d,Gabrg3,Chrnb2,Gpc3,Penk,Rorb,Pvalb,Bnc2,Pcdhga11,Rxfp3,Rnf220,Pcdhga12,Prkcg,Vgf,Notch2,Hrh2,Nrp1,Gad2,Pcdhgb4,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Pcdhga10,Tnr,Grid1,Grik5,Grik3,Zfhx3,Chrm3
2787445900805100100,20240503,3563.501221,7843.962009,5866.908831,DH_in_Rorb,1.0,inhibitory,7.0,male,M5,1,0503_M5_C,1,3,0,1,5,6,1,0,0,0,1,4,0,1,0,0,3,0,1,3,0,3,0,0,0,1,0,2,0,0,2,0,0,1,2,1,1,1,1,1,0,0
2787889600413100068,20240503,2187.120361,6969.366732,8901.226089,DH_in_Rorb,1.0,inhibitory,7.0,male,M4,4,0503_M4_T,0,1,0,0,0,2,0,0,0,0,1,2,0,1,0,3,0,0,0,0,1,4,0,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0
2795103300446100310,20240610,2127.333984,7656.212359,3528.843465,DH_in_Rorb,1.0,inhibitory,7.0,male,M5,2,0610_M5_L,0,1,0,0,0,0,0,4,0,3,0,2,1,0,0,0,1,0,0,0,0,3,0,1,0,0,3,0,1,0,2,0,1,1,1,0,1,0,2,1,0,0
2795584800122100059,20240610,2366.408691,4032.093417,4622.676116,DH_in_Rorb,1.0,inhibitory,7.0,female,F3,4,0610_F3_T,0,1,0,4,0,0,0,4,0,0,1,5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2795584800436100303,20240610,2406.080078,1244.714096,7379.995143,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,1,0610_F4_C,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2795584800476100231,20240610,4177.875,2259.986784,7543.455885,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,1,0610_F4_C,0,0,0,0,1,1,0,1,0,0,0,7,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2795584800483100061,20240610,1783.868896,4372.196063,7432.351592,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,4,0610_F4_T,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2795903600354100080,20240613,1462.0625,4645.956868,7453.874771,DH_in_Rorb,1.0,inhibitory,7.0,male,M5,4,0613_M5_T,2,0,0,5,0,0,1,0,1,4,0,1,0,2,0,0,0,3,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,3,0,0
2795903600481100147,20240613,1206.285522,3857.705169,8972.791519,DH_in_Rorb,1.0,inhibitory,7.0,male,M4,4,0613_M4_T,1,0,1,0,0,0,0,2,1,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2796212800080100061,20240613,955.137207,7225.00464,515.4917513,DH_in_Rorb,1.0,inhibitory,7.0,female,F5,3,0613_F5_S,0,1,0,0,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0
2796212800586100041,20240613,1250.760132,5576.350907,4965.208491,DH_in_Rorb,1.0,inhibitory,7.0,female,F3,2,0613_F3_L,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2796212800635100072,20240613,2134.050293,10281.05339,5332.074251,DH_in_Rorb,1.0,inhibitory,7.0,female,F5,1,0613_F5_C,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2796212800914100081,20240613,1447.649414,7793.081003,7787.87491,DH_in_Rorb,1.0,inhibitory,7.0,female,F3,1,0613_F3_C,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2796212801012100140,20240613,3553.343506,8413.468369,8707.202101,DH_in_Rorb,1.0,inhibitory,7.0,female,F3,1,0613_F3_C,0,1,0,1,0,0,0,2,0,0,0,6,1,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,2,1,2
