gene,F_score,p_value,DH_ex_Reln_mean,DH_ex_Grp_mean,DH_ex_Prkcg/Rxfp1_mean,highest_mean_cell_type,max_mean,min_mean,mean_range
Lhx9,2.2765685894660073,0.10878846921189914,0.12121212121212122,0.0,0.03333333333333333,DH_ex_Reln,0.12121212121212122,0.0,0.12121212121212122
Rnf220,2.032824368379756,0.13721089476349832,1.2424242424242424,1.9615384615384615,2.033333333333333,DH_ex_Prkcg/Rxfp1,2.033333333333333,1.2424242424242424,0.7909090909090908
Chrna7,2.013941015065433,0.13970790390280313,0.030303030303030304,0.2692307692307692,0.06666666666666667,DH_ex_Grp,0.2692307692307692,0.030303030303030304,0.23892773892773891
Notch2,1.9192952778139618,0.15294223103621857,0.12121212121212122,0.3076923076923077,0.06666666666666667,DH_ex_Grp,0.3076923076923077,0.06666666666666667,0.24102564102564106
Nrp1,1.8144664787207863,0.16910625815231345,0.15151515151515152,0.07692307692307693,0.3333333333333333,DH_ex_Prkcg/Rxfp1,0.3333333333333333,0.07692307692307693,0.2564102564102564
Esrrg,1.8002206266093108,0.17143402471957742,0.030303030303030304,0.038461538461538464,0.16666666666666666,DH_ex_Prkcg/Rxfp1,0.16666666666666666,0.030303030303030304,0.13636363636363635
Spr,1.7972843367983078,0.1719178745849054,0.12121212121212122,0.19230769230769232,0.03333333333333333,DH_ex_Grp,0.19230769230769232,0.03333333333333333,0.158974358974359
Plxna1,1.7455927840559304,0.1806683817983099,0.09090909090909091,0.15384615384615385,0.3333333333333333,DH_ex_Prkcg/Rxfp1,0.3333333333333333,0.09090909090909091,0.2424242424242424
Adcyap1r1,1.6632032631590314,0.19556866980474463,0.3333333333333333,0.4230769230769231,0.8,DH_ex_Prkcg/Rxfp1,0.8,0.3333333333333333,0.46666666666666673
Pcdhb9,1.6358295785090975,0.20079288851079488,0.0,0.07692307692307693,0.1,DH_ex_Prkcg/Rxfp1,0.1,0.0,0.1
Gabrg3,1.5613835357115198,0.21573516411781868,0.18181818181818182,0.07692307692307693,0.03333333333333333,DH_ex_Reln,0.18181818181818182,0.03333333333333333,0.1484848484848485
Ctss,1.5486574278130787,0.2184011513989159,0.0,0.23076923076923078,0.23333333333333334,DH_ex_Prkcg/Rxfp1,0.23333333333333334,0.0,0.23333333333333334
Sema5b,1.5098883129036413,0.22673256197830155,0.12121212121212122,0.0,0.13333333333333333,DH_ex_Prkcg/Rxfp1,0.13333333333333333,0.0,0.13333333333333333
Pcdhgb4,1.2892148346964627,0.28075687625402346,0.36363636363636365,0.34615384615384615,0.1,DH_ex_Reln,0.36363636363636365,0.1,0.26363636363636367
Pcdhga8,1.201906532558865,0.30561911111718143,0.12121212121212122,0.038461538461538464,0.03333333333333333,DH_ex_Reln,0.12121212121212122,0.03333333333333333,0.08787878787878789
Penk,1.14192877570748,0.3239943566340712,0.45454545454545453,2.5,0.9666666666666667,DH_ex_Grp,2.5,0.45454545454545453,2.0454545454545454
Sstr2,1.1168001196201056,0.33202546200144767,0.2727272727272727,0.038461538461538464,0.16666666666666666,DH_ex_Reln,0.2727272727272727,0.038461538461538464,0.23426573426573424
Tnr,1.0899804184039683,0.34082201074973667,0.21212121212121213,0.15384615384615385,0.3333333333333333,DH_ex_Prkcg/Rxfp1,0.3333333333333333,0.15384615384615385,0.17948717948717946
Sema4c,1.0736042228562441,0.34631012649643217,0.24242424242424243,0.07692307692307693,0.16666666666666666,DH_ex_Reln,0.24242424242424243,0.07692307692307693,0.1655011655011655
Dpy19l1,1.0641179917875656,0.3495305057336597,0.06060606060606061,0.23076923076923078,0.13333333333333333,DH_ex_Grp,0.23076923076923078,0.06060606060606061,0.17016317016317017
Plxnb2,1.0204945850109337,0.3647389380474697,0.15151515151515152,0.038461538461538464,0.13333333333333333,DH_ex_Reln,0.15151515151515152,0.038461538461538464,0.11305361305361306
Pax2,1.0003123685275943,0.37200255672299554,0.3333333333333333,0.2692307692307692,0.23333333333333334,DH_ex_Reln,0.3333333333333333,0.23333333333333334,0.09999999999999998
Pcdhgb5,0.995770433046904,0.3736575119555058,0.18181818181818182,0.07692307692307693,0.26666666666666666,DH_ex_Prkcg/Rxfp1,0.26666666666666666,0.07692307692307693,0.18974358974358974
Pmp22,0.9652925632786646,0.3849594527849732,0.15151515151515152,0.038461538461538464,0.1,DH_ex_Reln,0.15151515151515152,0.038461538461538464,0.11305361305361306
Gad2,0.8897154711471335,0.4145192250442825,0.15151515151515152,0.038461538461538464,0.13333333333333333,DH_ex_Reln,0.15151515151515152,0.038461538461538464,0.11305361305361306
Ptgds,0.8379957187041951,0.4360777457229188,0.36363636363636365,0.7692307692307693,0.43333333333333335,DH_ex_Grp,0.7692307692307693,0.36363636363636365,0.4055944055944056
Cdh19,0.8246899056729334,0.4418073763645697,0.030303030303030304,0.11538461538461539,0.06666666666666667,DH_ex_Grp,0.11538461538461539,0.030303030303030304,0.08508158508158509
Farp2,0.815813583131815,0.4456724020878193,0.030303030303030304,0.038461538461538464,0.1,DH_ex_Prkcg/Rxfp1,0.1,0.030303030303030304,0.0696969696969697
Qrfpr,0.7345685102055896,0.48269767629894517,0.030303030303030304,0.07692307692307693,0.13333333333333333,DH_ex_Prkcg/Rxfp1,0.13333333333333333,0.030303030303030304,0.10303030303030303
Pcdhga11,0.7256813701520753,0.48693433959842763,0.2727272727272727,0.15384615384615385,0.13333333333333333,DH_ex_Reln,0.2727272727272727,0.13333333333333333,0.13939393939393938
Pcdhga10,0.7190998849277679,0.49009636363318015,0.12121212121212122,0.038461538461538464,0.06666666666666667,DH_ex_Reln,0.12121212121212122,0.038461538461538464,0.08275058275058275
Jag2,0.681150671698028,0.5087431430535664,0.2727272727272727,0.15384615384615385,0.1,DH_ex_Reln,0.2727272727272727,0.1,0.1727272727272727
Adamts2,0.6803733482571023,0.5091325868196632,0.12121212121212122,0.11538461538461539,0.03333333333333333,DH_ex_Reln,0.12121212121212122,0.03333333333333333,0.08787878787878789
Vgf,0.6727946175155937,0.5129456006423507,0.30303030303030304,0.5,1.2,DH_ex_Prkcg/Rxfp1,1.2,0.30303030303030304,0.896969696969697
Calb1,0.5983210034046633,0.5520058872690301,0.30303030303030304,0.19230769230769232,0.43333333333333335,DH_ex_Prkcg/Rxfp1,0.43333333333333335,0.19230769230769232,0.24102564102564103
Crhr1,0.587651926179798,0.5578458443280597,0.09090909090909091,0.038461538461538464,0.03333333333333333,DH_ex_Reln,0.09090909090909091,0.03333333333333333,0.05757575757575758
Pcdhga9,0.5803288633765462,0.5618908417352573,0.06060606060606061,0.07692307692307693,0.13333333333333333,DH_ex_Prkcg/Rxfp1,0.13333333333333333,0.06060606060606061,0.07272727272727272
Chrnb2,0.5712976751632073,0.5669207078303694,0.5151515151515151,0.4230769230769231,0.8,DH_ex_Prkcg/Rxfp1,0.8,0.4230769230769231,0.37692307692307697
Gabrb3,0.5503821094264508,0.5787471783224606,0.09090909090909091,0.15384615384615385,0.2,DH_ex_Prkcg/Rxfp1,0.2,0.09090909090909091,0.1090909090909091
Grik5,0.48592454618749753,0.6168067922436473,1.303030303030303,0.9615384615384616,0.9666666666666667,DH_ex_Reln,1.303030303030303,0.9615384615384616,0.3414918414918414
Grik3,0.47101221184507924,0.6259710115981998,0.030303030303030304,0.11538461538461539,0.1,DH_ex_Grp,0.11538461538461539,0.030303030303030304,0.08508158508158509
Gabra1,0.45572438508558766,0.6355106851117591,0.030303030303030304,0.07692307692307693,0.13333333333333333,DH_ex_Prkcg/Rxfp1,0.13333333333333333,0.030303030303030304,0.10303030303030303
Pvalb,0.44389452111066036,0.6429945837887933,0.3333333333333333,0.4230769230769231,0.6,DH_ex_Prkcg/Rxfp1,0.6,0.3333333333333333,0.26666666666666666
Ramp2,0.3661030998620183,0.6945067592573749,0.09090909090909091,0.038461538461538464,0.2,DH_ex_Prkcg/Rxfp1,0.2,0.038461538461538464,0.16153846153846155
Sema7a,0.34040733181218913,0.7124347198880366,0.12121212121212122,0.07692307692307693,0.16666666666666666,DH_ex_Prkcg/Rxfp1,0.16666666666666666,0.07692307692307693,0.08974358974358973
Adra2a,0.3368981593464951,0.7149195637859047,0.06060606060606061,0.11538461538461539,0.06666666666666667,DH_ex_Grp,0.11538461538461539,0.06060606060606061,0.05477855477855478
Plxnc1,0.31951765099118057,0.7273580725329695,0.3333333333333333,0.11538461538461539,0.16666666666666666,DH_ex_Reln,0.3333333333333333,0.11538461538461539,0.21794871794871792
Pcdhga6,0.3148676383622641,0.7307232911134008,0.12121212121212122,0.07692307692307693,0.06666666666666667,DH_ex_Reln,0.12121212121212122,0.06666666666666667,0.05454545454545455
Rorb,0.2778571952002471,0.7580823063234007,0.09090909090909091,0.15384615384615385,0.13333333333333333,DH_ex_Grp,0.15384615384615385,0.09090909090909091,0.06293706293706294
Pcdhb16,0.2519791459066395,0.7778327741474367,0.06060606060606061,0.07692307692307693,0.03333333333333333,DH_ex_Grp,0.07692307692307693,0.03333333333333333,0.043589743589743594
Pdzrn3,0.22271723310080424,0.8008012914136098,0.21212121212121213,0.15384615384615385,0.2,DH_ex_Reln,0.21212121212121213,0.15384615384615385,0.05827505827505827
Pthlh,0.1250273958592075,0.8826328336944349,0.06060606060606061,0.07692307692307693,0.13333333333333333,DH_ex_Prkcg/Rxfp1,0.13333333333333333,0.06060606060606061,0.07272727272727272
Nrgn,0.12413919634332891,0.8834148692200272,0.3939393939393939,0.34615384615384615,0.43333333333333335,DH_ex_Prkcg/Rxfp1,0.43333333333333335,0.34615384615384615,0.0871794871794872
Sstr3,0.11061180952126623,0.89541338388484,0.06060606060606061,0.038461538461538464,0.06666666666666667,DH_ex_Prkcg/Rxfp1,0.06666666666666667,0.038461538461538464,0.028205128205128202
Dlk1,0.1089258595182557,0.8969204289976842,0.42424242424242425,0.19230769230769232,0.36666666666666664,DH_ex_Reln,0.42424242424242425,0.19230769230769232,0.23193473193473194
Grik1,0.10619669939665544,0.8993654872993189,0.30303030303030304,0.3076923076923077,0.3333333333333333,DH_ex_Prkcg/Rxfp1,0.3333333333333333,0.30303030303030304,0.030303030303030276
Grid1,0.10220127300196294,0.9029573027558736,1.4242424242424243,1.1538461538461537,1.0666666666666667,DH_ex_Reln,1.4242424242424243,1.0666666666666667,0.35757575757575766
Sema6d,0.07769955267255182,0.9253072477561011,1.0,1.1538461538461537,1.2,DH_ex_Prkcg/Rxfp1,1.2,1.0,0.19999999999999996
Hrh2,0.0648721941463572,0.9372330499496418,0.06060606060606061,0.07692307692307693,0.1,DH_ex_Prkcg/Rxfp1,0.1,0.06060606060606061,0.0393939393939394
